name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
		AdditionalPaidInCapital,"4,051,000,000","4,028,000,000","4,011,000,000","3,984,000,000","3,965,000,000","3,954,000,000","3,938,000,000","3,925,000,000","3,907,000,000","3,876,000,000","3,847,000,000","3,824,000,000","3,783,000,000","3,733,000,000","692,000,000","692,000,000","690,000,000","690,000,000",,,,,,,,,,,,,,,
		RetainedEarnings,"2,319,000,000","2,013,000,000","1,575,000,000","1,377,000,000","1,055,000,000","805,000,000","655,000,000","451,000,000","155,000,000","0","-924,000,000","-808,000,000","31,000,000","-65,000,000","-8,546,000,000","-4,447,000,000","-4,651,000,000","-4,766,000,000","-1,957,000,000","-1,996,000,000","-1,510,000,000","-1,762,000,000","-1,041,000,000","-1,072,000,000","-781,000,000","-1,012,000,000","-1,171,000,000","-1,302,000,000","-1,375,000,000","-633,000,000","-706,000,000","-878,000,000","-1,067,000,000"
		TreasuryStock,"1,130,000,000","1,103,000,000","911,000,000","803,000,000","612,000,000","518,000,000","504,000,000","475,000,000","362,000,000","229,000,000","104,000,000","101,000,000",,,,,,,,,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-610,000,000","-656,000,000","-514,000,000","-710,000,000","-670,000,000","-550,000,000","-297,000,000","-364,000,000",,,,"-183,000,000","175,000,000","17,000,000","-297,000,000","-330,000,000","-371,000,000","-395,000,000","-355,000,000","-97,000,000","-51,000,000","-37,000,000","-37,000,000","-1,000,000","9,000,000","-1,000,000",,,,,,,
			MinimumPensionLiabilities,,,,,,,,,,,,"-157,000,000",,,,,,,,,,,,,,,,,,,,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,"-6,000,000","77,000,000",,,,,,,,,,,,,,,,,,,,
			OtherEquityAdjustments,,,,,,,,,,,,"-20,000,000","98,000,000",,,,,,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,"-2,000,000",,"-2,000,000","-1,000,000","-2,000,000","-3,000,000","-2,000,000","-5,000,000","-15,000,000","-14,000,000","-20,000,000","-17,000,000","-19,000,000","-15,000,000","302,000,000","294,000,000","299,000,000","283,000,000","271,000,000","268,000,000","258,000,000"
	MinorityInterest,"40,000,000","41,000,000","42,000,000","40,000,000","40,000,000","38,000,000","37,000,000","37,000,000","40,000,000","38,000,000","33,000,000","42,000,000","37,000,000","44,000,000","47,000,000","49,000,000","51,000,000","49,000,000","37,000,000","39,000,000","44,000,000","19,000,000","24,000,000","21,000,000",,,,,,,,,
TotalCapitalization,"7,617,000,000","7,645,000,000","6,567,000,000","5,948,000,000","5,441,000,000","5,683,000,000","5,817,000,000","5,614,000,000","5,631,000,000","5,277,000,000","4,997,000,000","4,905,000,000","5,981,000,000","4,982,000,000","-8,111,000,000","-4,042,000,000","-4,255,000,000","-4,397,000,000","-1,612,000,000","-1,392,000,000","883,000,000","401,000,000","1,154,000,000","334,000,000","582,000,000","357,000,000","29,000,000","10,000,000","72,000,000","736,000,000","766,000,000","705,000,000","673,000,000"
CommonStockEquity,"4,631,000,000","4,283,000,000","4,162,000,000","3,849,000,000","3,739,000,000","3,692,000,000","3,793,000,000","3,538,000,000","3,701,000,000","3,648,000,000","2,820,000,000","2,733,000,000","3,988,000,000","3,686,000,000","-8,147,000,000","-4,080,000,000","-4,328,000,000","-4,468,000,000","-1,617,000,000","-1,399,000,000","-881,000,000","-1,134,000,000","-441,000,000","-484,000,000","-212,000,000","-680,000,000","-869,000,000","-1,008,000,000","-1,076,000,000","-350,000,000","-435,000,000","-610,000,000","-809,000,000"
CapitalLeaseObligations,"138,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
